34     rdxjd3xwb8yye2jr09/22/2023 23:12qualified,/QTA_S5_1/S5_1r1,/Age/D_S1ar5,/Sample/online,/Gender (3111               197351112111101010000100010000010 0 0    1   1     01110 0 0    0   0     1011 0 1    1   1     010 0 1    1   1     011 1 0    1   1     010 0 0    0   0     011 0 1    1   1     011 0 0    1   1     000 0 0    1   1     011 0 0    1   1     000 0 0    0   1     011 0 1    1   1     011 1 1    1   1     001 0 1    0   0     010 0 1    1   1     011 0 1    1   1     011 0 1    1   1     011 0 0    1   1     01101101000101000100 11010101100 3     2             3     1      2   0   23      1  0100000001011010001000000000000004                482.261 4105609/22/2023 23:04                                                              english                                                     3                                                           Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.361.54.134.101                                                11cqbhpzt1ratsqm                                            11cqbhpzt1ratsqm                                                                                                                                                                    ..                                                          /survey/selfserve/591/230951?list=3&uid=1186544473          11cqbhpzt1ratsqm                                            1186544473                                                                                                              
37     h81rbgf9ybj62btf09/22/2023 23:22qualified,/QTA_S5_1/S5_1r1,/Age (Online)/D_S1ar3,/Age/D_S1ar3,/G3111               199432212111111111111111111100010000101100000100   01010000101100000100   1000000010000000000   000000000100000000   000000000010000000   000000001000000000   001000000000000000   000001000000000000   000010000000000000   000100000000000000   000000100000000000   010000000000000000   000000000000100000   000000000001000000   000000000000000010   000000000000010000   000000000000000100   000000000000001000   01111111111111111110 50010000000 3     1 10000010000  2   1    3      0    23  1     0                 1000000000000004                285.68114101209/22/2023 23:17                                                              english                                                     3                                                           Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML171.240.181.125                                             9d46c0puw0euy8c6                                            9d46c0puw0euy8c6                                                                                                                                                                    sa                                                          /survey/selfserve/591/230951?list=3&uid=1186548291          9d46c0puw0euy8c6                                            1186548291                                                                                                              
38     0d3bcqz4q373bnm309/22/2023 23:24qualified,/QTA_S5_1/S5_1r1,/Age/D_S1ar4,/HN_HCM (Online)/HN/abov3111               197942112111100000000100110000000        1  00     01100        1  00     1011        1  01     011        1  01     011        1  01     011        1  01     011        1  01     011        1  01     011        1  01     011        1  01     010        1  01     011        1  01     011        1  01     000        0  01     011        1  01     011        1  11     011        1  11     011        1  01     01111111110100010100 11110101100 1    99              3  1 2          0   2 3     1  0100000100011000101000000000000004                403.741 4105609/22/2023 23:17                                                              english                                                     3                                                           Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.361.54.134.101                                                xvnjp0fa262ezs4v                                            xvnjp0fa262ezs4v                                                                                                                                                                    ..                                                          /survey/selfserve/591/230951?list=3&uid=1186548395          xvnjp0fa262ezs4v                                            1186548395                                                                                                              
39     ms8edz0y75a4a5mb09/22/2023 23:23qualified,/QTA_S5_1/S5_1r1,Total,/Age/D_S1ar3,/Gender/S1br1,/QTA3111               1990312 7111111111111111111100011111111111111111   01100000001000000000   1111111111111111001   001110111111111111   011111111011111111   011111111111111111   010010101010111111   011100111110111111   011111011101011111   011101101111011111   011111111111101011   010111101111111111   010111011110010111   000111111000101111   010101111110101111   011110110011111111   011111111111111111   010111010110111111   00111101111111111110 51111111100 3     1 10010000000    3       2 1   0   1   2    3 0000000001010010001000000000000004                312.78114101209/22/2023 23:18                                                              english                                                     3                                                           Mozilla/5.0 (Linux; Android 13; RMX3081 Build/RKQ1.211119.00103.199.40.173                                              2m19mur2xc29pfmr                                            2m19mur2xc29pfmr                                                                                                                                                                    sa                                                          /survey/selfserve/591/230951?list=3&uid=1186548518          2m19mur2xc29pfmr                                            1186548518                                                                                                              
42     bqap2g27y44ksyc009/22/2023 23:38qualified,/QTA_S5_1/S5_1r2,/Age/D_S1ar3,/Gender/S1br2,/Gender (O3111               1993322 62111111101111001101000000000 0000  01 0   010000000 0000  01 0   10100001 0001  01 0   0000000 0000  01 0   0000000 0001  00 0   0000000 0000  01 0   0000000 0000  01 0   0000000 0000  01 0   0000000 0000  01 0   0000000 0000  01 0   0000000 0000  01 0   0000000 0000  01 0   0000000 0000  01 0   0000000 0000  01 0   0000000 0000  01 0   0000000 0000  01 0   0000000 0000  01 0   0000000 0000  01 0   00000000000100000000120010100000 51000 1 2          2 3           1   0  1    32     0                 1000000000000004                994.02112131109/22/2023 23:21                                                              english                                                     3                                                           Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) App14.191.101.160                                              napf6dar8hhrp7wr                                            napf6dar8hhrp7wr                                                                                                                                                                    si                                                          /survey/selfserve/591/230951?list=3&uid=1186549723          napf6dar8hhrp7wr                                            1186549723                                                                                                              
43     454wsvz81kset9j209/22/2023 23:28qualified,/QTA_S5_1/S5_1r1,/HN_HCM (Online)/HCM/16mill_25mill,/A3111               1998322 41101011100001000110000 0 011    0   00    010 0 010    0   00    10 0 011    0   00    0 0 001    0   00    0 0 001    0   00    0 0 011    0   00    0 0 011    1   10    0 0 011    0   00    0 1 011    0   00    0 0 011    1   00    0 0 011    0   11    0 1 011    1   00    0 1 011    1   00    0 0 011    1   10    0 0 011    0   00    0 1 011    0   00    0 0 110    0   00    0 0 011    0   00    01000101000110001010 10010000000 3     2             2           13   02  1   3      0                 1000000000000004                135.20114101209/22/2023 23:26                                                              english                                                     3                                                           Mozilla/5.0 (Linux; Android 11; SAMSUNG SM-A525F) AppleWebKi125.235.214.127                                             0bbcc8xbmty9ck5f                                            wngrz3f6bt6vfq92                                                                                                                                                                    sa                                                          /survey/selfserve/591/230951?list=3&uid=1186549271          0bbcc8xbmty9ck5f                                            1186549271                                                                                                              
44     k2ytt9c0rv56h8df09/22/2023 23:33qualified,/QTA_S5_1/S5_1r1,/Age/D_S1ar4,/Gender (Online)/S1br1,/3111               1980411 411100000010000001010001      0      0 0   0100      1      0 0   011      0      0 0   01      0      1 0   00      1      0 0   00      0      0 1   00      0      0 1   01      0      0 0   00      0      0 1   00      1      0 0   00      0      0 1   00      0      1 0   00      1      0 0   01      0      0 0   00      0      1 0   01      0      0 0   00      0      1 0   00      1      0 0   01010000000001000000 10000001100 8                      2 1  3        0    1   23    0000100000010101002000000000000004                197.47114101209/22/2023 23:30                                                              english                                                     3                                                           Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-C900F) AppleWe1.55.254.53                                                 9q3e4pf0rjjwxgt7                                            hfaah4qfguatd3ht                                                                                                                                                                    sa                                                          /survey/selfserve/591/230951?list=3&uid=1186552208          30cvdkk17941q96z                                            1186552208                                                                                                              
46     0xf6vhmtn62wfhks09/22/2023 23:40qualified,/QTA_S5_1/S5_1r1,/Age (Online)/D_S1ar3,/Age/D_S1ar3,/G3111               199331212111111111111111111100010000001101000100   01010000001101000100   1000001000000000000   000000100000000000   000100000000000000   000010000000000000   000000000000100000   000000000100000000   000000010000000000   000000000001000000   000000001000000000   000000000010000000   010000000000000000   001000000000000000   000000000000000011   000000000000010000   000000000000001000   000000000000000100   01111111111111111110121000000000 1     1 10000010000  2   1      3    0    21  3     0                 1000000000000004                161.22114101209/22/2023 23:37                                                              english                                                     3                                                           Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML171.252.189.207                                             bm85t0mm7huyx62a                                            bm85t0mm7huyx62a                                                                                                                                                                    sa                                                          /survey/selfserve/591/230951?list=3&uid=1186554263          bm85t0mm7huyx62a                                            1186554263                                                                                                              
47     421dn3ktbey917vv09/22/2023 23:44qualified,/Gender (Online)/S1br2,/Age (Online)/D_S1ar4,20230922_3111               1986421 8111100000000100000000011        1         01010        0         1010        0         010        0         011        1         011        1         011        1         010        0         011        1         010        0         010        0         010        0         010        0         010        0         010        0         010        0         010        0         011        1         01110010000101001110120000001000 8     2             1    23          0   321        0                 1000000000000004                219.11114101209/22/2023 23:40                                                              english                                                     3                                                           Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML27.2.38.243                                                 heap3xjpk5umczjw                                            heap3xjpk5umczjw                                                                                                                                                                    sa                                                          /survey/selfserve/591/230951?list=3&uid=1186555242          heap3xjpk5umczjw                                            1186555242                                                                                                              
48     02yeuf02pqqtz1ew09/22/2023 23:45qualified,Total,/Gender (Online)/S1br1,20230922_23:39_v2,/QTA_S53111               199131210111100010110100011100010   1 00 0   100   01010   0 00 0   000   1010   0 00 0   000   010   0 00 0   000   010   0 00 0   000   010   1 10 0   100   010   0 00 0   000   010   1 00 0   000   010   0 00 0   000   010   0 00 0   000   010   1 00 0   000   010   0 00 0   000   010   0 00 0   000   000   0 00 0   000   110   0 00 0   000   010   0 00 0   000   010   0 00 0   000   010   1 00 0   000   00000100000000000000 50100001000 8     2             2          1 3   01    2  3     0                 1000000000000004                190.45114101209/22/2023 23:41                                                              english                                                     3                                                           Mozilla/5.0 (Linux; Android 13; SM-A715F Build/TP1A.220624.0171.225.248.90                                              fndjew4t8h504vmx                                            fndjew4t8h504vmx                                                                                                                                                                    sa                                                          /survey/selfserve/591/230951?list=3&uid=1186555680          fndjew4t8h504vmx                                            1186555680                                                                                                              
49     n8013gg4a2zpqb9z09/22/2023 23:45qualified,Total,/Gender (Online)/S1br1,/QTA_S5_1 (Online)/S5_1r23111               1992311 5211101000100100010000000 0   0  1   0     01000 0   0  1   0     1000 0   0  1   0     000 0   0  1   0     000 0   0  1   0     000 0   0  1   0     000 0   0  1   0     000 0   0  1   0     000 0   0  1   0     000 0   0  1   0     000 0   0  1   0     000 0   0  1   0     000 0   0  1   0     000 0   0  1   0     000 0   0  1   0     000 0   0  1   0     000 0   0  1   0     000 0   0  1   0     00110100000100000100 20000100000 51000 2               3  1       2   0     1        0                 1000000000000004                217.22112131109/22/2023 23:41                                                              english                                                     3                                                           Mozilla/5.0 (iPhone; CPU iPhone OS 14_8_1 like Mac OS X) App1.53.44.170                                                 r0wat2rqn3vp3q3c                                            r0wat2rqn3vp3q3c                                                                                                                                                                    si                                                          /survey/selfserve/591/230951?list=3&uid=1186555717          r0wat2rqn3vp3q3c                                            1186555717                                                                                                              
